,tconst,title,release_year,adjusted_domestic_gross,director_gender,has_oscar_cast,propensity_score,adjusted_budget,star_power,num_production_countries,num_spoken_languages,num_production_companies,genre_stereotypes
287,tt0280760,igby goes down,2002,8.3,0,1,0.09522217011874924,15.7,369.7,1,1,1,0
288,tt4481414,gifted,2017,31.8,0,1,0.08849615966131949,9.0,603.9,1,1,4,0
289,tt0117802,swingers,1996,9.0,0,0,0.09409711760313101,0.4,365.9,1,1,3,0
290,tt0335013,the company,2003,3.9,0,0,0.07518941909738695,25.6,214.7,3,1,9,0
291,tt0119190,george of the jungle,1997,206.2,0,0,0.03428026534976003,107.7,363.3,1,2,2,1
292,tt0889583,brno,2009,88.0,0,0,0.08578039139551917,61.6,387.5,2,3,3,0
293,tt3850214,dope,2015,23.2,0,0,0.04495273189165356,9.3,456.0,1,1,3,1
294,tt0096203,switching channels,1988,23.9,0,0,0.08906105217396063,47.8,388.3,1,1,1,0
295,tt1646980,the double,2011,0.1,0,0,0.03819939708418879,23.8,280.9,1,1,5,1
296,tt0338216,lucky you,2007,8.7,0,1,0.06421118728408695,83.4,274.2,1,1,5,0
297,tt3881784,stronger,2017,5.4,0,0,0.08033180655353095,38.5,368.0,1,1,4,0
298,tt0116508,heavens prisoners,1996,9.8,0,0,0.037887882744736416,50.1,325.2,2,1,5,1
299,tt4530422,overlord,2018,27.2,0,0,0.04472251936743234,47.6,227.4,2,4,2,1
300,tt1972779,the best of me,2014,35.6,0,0,0.09218762782374047,34.5,348.8,1,1,1,0
301,tt2908856,my old lady,2014,5.3,0,1,0.09228098288403326,6.6,234.9,3,1,5,0
302,tt0116095,diabolique,1996,34.3,0,1,0.032474951246193,90.2,423.1,1,2,4,1
303,tt2872718,nightcrawler,2014,43.0,0,0,0.04828227386792006,11.3,673.7,1,1,2,1
304,tt0388500,beauty shop,2005,58.5,0,0,0.090252224981484,40.2,321.4,1,1,1,0
305,tt0257756,high crimes,2002,72.6,0,0,0.0695699765190448,73.4,331.5,1,2,5,0
306,tt0095690,mystic pizza,1988,34.0,0,0,0.09532255504712367,15.9,485.2,1,1,2,0
307,tt0243133,the man who wasnt there,2001,13.3,0,1,0.08356528022300115,35.5,439.6,2,3,5,0
308,tt0396652,ice princess,2005,39.2,0,0,0.08752337537729092,40.2,246.2,2,1,3,0
309,tt0120784,payback,1999,153.9,0,0,0.027849466552418312,169.8,398.0,1,1,2,1
