imdb_id,title,release_year,budget,production_companies,production_countries,spoken_languages
tt1355644,Passengers,2016,110000000,"Wanda Pictures, Columbia Pictures, Village Roadshow Pictures, Original Film, Company Films, Start Motion Pictures, LStar Capital",United States of America,English
tt0454876,Life of Pi,2012,120000000,"Fox 2000 Pictures, Dune Entertainment, Ingenious Media, Haishang Films, Netter Productions, India Take One Productions","Canada, India, Taiwan, United Kingdom, United States of America","English, French, Hindi, Japanese, Tamil"
tt0470752,Ex Machina,2015,15000000,"DNA Films, Film4 Productions, IAC Films, Scott Rudin Productions","United Kingdom, United States of America",English
tt1872181,The Amazing Spider-Man 2,2014,200000000,"Marvel Entertainment, Columbia Pictures, Matt Tolmach Productions, Arad Productions",United States of America,English
tt1856101,Blade Runner 2049,2017,150000000,"Torridon Films, 16:14 Entertainment, Scott Free Productions, Columbia Pictures, Alcon Entertainment, Thunderbird Entertainment, Warner Bros. Pictures","Canada, Hungary, Mexico, Spain, United Kingdom, United States of America","English, Finnish, Hungarian, Japanese, Russian, Somali, Spanish"
tt0268380,Ice Age,2002,59000000,"20th Century Fox Animation, 20th Century Fox, Blue Sky Studios",United States of America,English
tt0121765,Star Wars: Episode II - Attack of the Clones,2002,120000000,Lucasfilm Ltd.,United States of America,English
tt0974015,Justice League,2017,300000000,"RatPac Entertainment, Cruel & Unusual Films, Atlas Entertainment, Warner Bros. Pictures, DC Films","Canada, United Kingdom, United States of America",English
tt1170358,The Hobbit: The Desolation of Smaug,2013,250000000,"Warner Bros. Pictures, WingNut Films, New Line Cinema, Metro-Goldwyn-Mayer","New Zealand, United States of America",English
tt7131622,Once Upon a Time… in Hollywood,2019,95000000,"Heyday Films, Columbia Pictures, Bona Film Group","China, United Kingdom, United States of America","English, Italian, Spanish"
tt3385516,X-Men: Apocalypse,2016,178000000,"The Donners' Company, Bad Hat Harry Productions, Genre Films, Hutch Parker Entertainment, 20th Century Fox",United States of America,"Arabic, English, German, Polish, Russian, Swahili"
tt2562232,Birdman or (The Unexpected Virtue of Ignorance),2014,18000000,"TSG Entertainment, Worldview Entertainment, New Regency Pictures, M Productions, Le Grisbi Productions",United States of America,English
tt1840309,Divergent,2014,85000000,"Summit Entertainment, Red Wagon Entertainment",United States of America,English
tt2179136,American Sniper,2014,58800000,"RatPac Entertainment, Village Roadshow Pictures, 22 & Indiana Pictures, Malpaso Productions, Warner Bros. Pictures, Mad Chance",United States of America,English
tt0892769,How to Train Your Dragon,2010,165000000,"DreamWorks Animation, Paramount",United States of America,English
tt3606756,Incredibles 2,2018,200000000,"Walt Disney Pictures, Pixar",United States of America,English
tt0099487,Edward Scissorhands,1990,20000000,20th Century Fox,United States of America,English
tt4425200,John Wick: Chapter 2,2017,40000000,"Thunder Road, 87Eleven, Summit Entertainment",United States of America,"English, Hebrew, Italian, Russian"
tt1270798,X-Men: First Class,2011,160000000,"The Donners' Company, Bad Hat Harry Productions, 20th Century Fox",United States of America,"German, English, Spanish, French, Russian"
