title,director,cast
Night Comes On,Jordana Spiro,"['Dominique Fishback', 'Tatum Marilyn Hall', 'James McDaniel', 'John Earl Jelks']"
Wonder Woman,Patty Jenkins,"['Gal Gadot', 'Chris Pine', 'Connie Nielsen', 'Robin Wright']"
Most Beautiful Island,Ana Asensio,"['Ana Asensio', 'Natasha Romanova', 'David Little', 'Nicholas Tucci']"
School Life,David Rane,[]
The Breadwinner,Nora Twomey,"['Saara Chaudry', 'Laara Sadiq', 'Shaista Latif', 'Ali Badshah']"
Bombshell: The Hedy Lamarr Story,Alexandra Dean,"['Mel Brooks', 'Diane Kruger', 'Peter Bogdanovich', 'Richard Rhodes']"
Step,Amanda Lipitz,['Blessin Giraldo']
Mudbound,Dee Rees,"['Carey Mulligan', 'Jason Clarke', 'Jason Mitchell', 'Mary J. Blige']"
Whose Streets?,Sabaah Folayan,[]
Good Manners,Juliana Rojas,"['Isabél Zuaa', 'Marjorie Estiano', 'Cida Moreira', 'Miguel Lobo']"
Trophy,Shaul Schwarz,"['Tim Black', 'Philip Glass', 'John Hume', 'Bill Travers Jr.']"
Lady Bird,Greta Gerwig,"['Saoirse Ronan', 'Laurie Metcalf', 'Timothée Chalamet', 'Lucas Hedges']"
Faces Places,Agnès Varda,"['Agnès Varda', 'JR']"
Outside In,Lynn Shelton,"['Jay Duplass', 'Edie Falco', 'Kaitlyn Dever', 'Ben Schwartz']"
Western,Valeska Grisebach,"['Meinhard Neumann', 'Reinhardt Wetrek', 'Syuleyman Alilov Letifov', 'Veneta Fragnova']"
The Rider,Chloé Zhao,"['Brady Jandreau', 'Tim Jandreau', 'Lilly Jandreau', 'Lane Scott']"
Summer 1993,Carla Simón,"['Laia Artigas', 'Paula Robles', 'Bruna Cusí', 'David Verdaguer']"
Marlina the Murderer in Four Acts,Mouly Surya,"['Marsha Timothy', 'Egy Fedly', 'Dea Panendra', 'Yoga Pratama']"
Tigers Are Not Afraid,Issa López,"['Paola Lara', 'Ianis Guerrero', 'Rodrigo Cortés', 'Hanssel Casillas']"
Oh Lucy!,Atsuko Hirayanagi,"['Shinobu Terajima', 'Josh Hartnett', 'Kaho Minami', 'Kôji Yakusho']"
Zama,Lucrecia Martel,"['Daniel Giménez Cacho', 'Lola Dueñas', 'Matheus Nachtergaele', 'Juan Minujín']"
I Am Not a Witch,Rungano Nyoni,"['Maggie Mulubwa', 'Nancy Murilo', 'Henry B.J. Phiri', 'Nellie Munamonga']"
Sand Storm,Elite Zexer,"['Lamis Ammar', 'Ruba Blal', 'Haitham Alomari', 'Khadija Al Akel']"
Toni Erdmann,Maren Ade,"['Peter Simonischek', 'Sandra Hüller', 'Michael Wittenborn', 'Thomas Loibl']"
Queen of Katwe,Mira Nair,"['Madina Nalwanga', 'David Oyelowo', ""Lupita Nyong'o"", 'Martin Kabanza']"
Nuts!,Penny Lane,"['Gene Tognacci', 'Andy Boswell', 'John Causby', 'Kelly Mizell']"
All This Panic,Jenny Gage,"['Delia Cunningham', 'Kevin Ryan', 'Dusty Rose Ryan', 'Lena M.']"
