tconst,title,release_year,genres,adjusted_budget,adjusted_domestic_gross,director_ids,director_names,production_companies,production_countries,spoken_languages
tt0486551,beerfest,2006,Comedy,27291666.666666668,29919751.23809524,nm0151540,jay chandrasekhar,"Broken Lizard Industries, Cataland Films, Gerber Pictures, Legendary Pictures, Warner Bros. Pictures",United States of America,"English, German"
tt0099385,death warrant,1990,"Action,Crime,Mystery",9622035.19510329,37030883.550114766,nm0764776,deran sarafian,"Pathé Pictures International, Cannon Group, Metro-Goldwyn-Mayer","Canada, United States of America",English
tt10481868,black christmas,2019,"Horror,Mystery,Thriller",6147829.487680876,12824040.328509971,nm3046419,sophia takal,"Universal Pictures, Blumhouse Productions, Divide / Conquer","New Zealand, United States of America",English
tt1810683,little boy,2015,"Drama,History,War",26531645.56962025,8604160.921518987,nm1920049,alejandro monteverde,"Santa Fe Films, Metanoia Films","Mexico, United States of America",English
tt0101912,frankie and johnny,1991,"Comedy,Drama,Romance",66942731.27753305,52569745.99118943,nm0005190,garry marshall,Paramount,United States of America,English
tt0112760,cutthroat island,1995,"Action,Adventure,Comedy",202173228.34645668,20665656.409448817,nm0001317,renny harlin,"Laurence Mark Productions, Metro-Goldwyn-Mayer, Carolco Pictures, Beckner/Gorman Productions, Cutthroat Productions, Forge, Guild, RCS Video, Tele-Communications Inc., StudioCanal","France, Germany, Italy, United States of America","Spanish, French, English, Latin"
tt0105629,toys,1992,"Adventure,Comedy,Drama",112045616.53599428,48072235.0734141,nm0001469,barry levinson,"Baltimore Pictures, 20th Century Fox",United States of America,English
tt0091738,peggy sue got married,1986,"Comedy,Drama,Fantasy",51635036.49635036,118711361.40875912,nm0000338,francis ford coppola,"American Zoetrope, TriStar Pictures",United States of America,English
tt0435670,the invisible,2007,"Crime,Drama,Fantasy",45499276.410998546,31194787.716353107,nm0275286,david s. goyer,"Spyglass Entertainment, Hollywood Pictures, Birnbaum / Barber Productions, Macari/Edelstein, Limbo Productions, Sonet Film","Canada, United States of America",English
tt0390022,friday night lights,2004,"Action,Drama,Sport",49931180.51879301,101952681.64319746,nm0000916,peter berg,"Imagine Entertainment, Friday Night Lights, MDBF Filmgesellschaft mbH & Company KG, Universal Pictures",United States of America,English
tt0083943,firefox,1982,"Action,Adventure,Thriller",58644559.58549222,149171299.15025905,nm0000142,clint eastwood,"Malpaso Productions, Warner Bros. Pictures",United States of America,"Russian, English"
tt1714210,weekend,2011,"Drama,Romance",167754.55758114715,677437.6380613605,nm0354091,andrew haigh,"The Bureau, EM Media, Glendale Picture Company, Synchronicity Films",United Kingdom,English
tt1232207,capitalism a love story,2009,"Crime,Documentary,History",29314685.31468531,21052923.155244756,nm0601619,michael moore,"The Weinstein Company, Paramount Vantage, Dog Eat Dog Films, Overture Films",United States of America,English
tt1584016,catfish,2010,"Documentary,Drama,Mystery",43246.21733149931,4666761.298486932,"nm1160962,nm1413364","henry joost,ariel schulman","Hit the Ground Running Films, Supermarché",United States of America,English
tt5941692,miss bala,2019,"Action,Crime,Drama",18443488.463042628,18441062.52952679,nm0362566,catherine hardwicke,"Misher Films, Canana, Columbia Pictures","Mexico, United States of America",English
tt0101605,the commitments,1991,"Comedy,Drama,Music",27700440.528634362,32213306.27312776,nm0000570,alan parker,"Beacon Pictures, Beacon Communications, First Film Company, Dirty Hands Productions","Ireland, United Kingdom, United States of America","English, Irish"
tt0141098,forces of nature,1999,"Comedy,Romance",141536614.64585835,99939569.74789914,nm0400486,bronwen hughes,"Roth-Arnold Productions, DreamWorks Pictures",United States of America,English
tt0155776,jawbreaker,1999,"Comedy,Crime,Thriller",5661464.585834334,5806435.822328931,nm0825434,darren stein,"Crossroads Films, TriStar Pictures, Kramer-Tornell Productions",United States of America,English
tt0473308,waitress,2007,"Comedy,Drama,Romance",2274963.820549927,28964156.87409551,nm0791248,adrienne shelly,"Night and Day Pictures, Fox Searchlight Pictures",United States of America,English
tt0252503,heist,2001,"Action,Crime,Drama",62134387.35177865,41689257.14737436,nm0000519,david mamet,"Stolen Film Productions, Franchise Pictures, Morgan Creek, Indelible Pictures, Epsilon Motion Pictures, The Linson Company",United States of America,English
tt0252028,surviving christmas,2004,"Comedy,Romance",74896770.77818951,18638219.52355744,nm0593610,mike mitchell,"LivePlanet, Tall Trees Productions, DreamWorks Pictures",United States of America,English
tt0252501,hearts in atlantis,2001,"Drama,Mystery",55033314.51157538,42936248.1445511,nm0382956,scott hicks,"Castle Rock Entertainment, Village Roadshow Pictures, Warner Bros. Pictures","Australia, United States of America",English
tt0119731,murder at,1997,"Action,Crime,Drama",78355140.18691589,50621385.33084112,nm0514546,dwight h. little,"Kopelson Entertainment, Regency Enterprises, 1600 Limited Partnership, Warner Bros. Pictures",United States of America,English
tt0117108,multiplicity,1996,"Comedy,Romance,Sci-Fi",90172084.13001911,40343643.68642447,nm0000601,harold ramis,Columbia Pictures,United States of America,English
tt2752758,devils due,2014,"Horror,Mystery",9297845.373891002,21015071.13814956,"nm2366012,nm2419470","matt bettinelli-olpin,tyler gillett","TSG Entertainment, Davis Entertainment, 20th Century Fox",United States of America,English
